TID,PhoneNo,Destination,Cell,Disconnect,StartTime,EndTime,Cell2
1,99250260,,"F","Y",2005-09-06 21:10:14,2005-09-06 23:41:12,"D"
2,98240221,,"A","Y",2005-09-03 22:08:12,2005-09-04 00:16:40,"C"
3,98251361,91917091,"B","No",2006-09-24 14:42:27,2006-09-24 16:36:37,"A"
4,98351221,,"B","Y",2005-01-13 10:51:41,2005-01-13 12:29:02,"D"
5,99340320,,"C","Y",2005-06-26 21:38:11,2005-06-26 21:51:51,"A"
7,99241220,91819091,"B","No",2005-01-10 14:13:55,2005-01-10 15:00:14,"F"
8,99351120,90817180,"C","No",2005-11-07 13:35:45,2005-11-07 13:42:07,"E"
9,99341061,,"C","Y",2006-09-24 18:20:18,2006-09-24 19:36:33,"D"
10,98350121,,"C","Y",2005-05-19 22:33:05,2005-05-19 22:51:06,"F"
11,99240161,90819080,"E","No",2006-02-26 15:51:35,2006-02-26 16:39:22,"D"
12,98250061,,"E","Y",2005-05-17 20:16:57,2005-05-17 21:14:09,"C"
13,99341221,90808091,"F","No",2006-12-14 02:46:56,2006-12-14 04:18:17,"A"
14,98250061,91809071,"D","No",2005-05-19 05:00:10,2005-05-19 05:53:13,"E"
15,98351160,90909070,"E","No",2005-03-30 22:45:24,2005-03-30 23:29:03,"D"
16,98340020,,"D","Y",2005-07-23 06:08:49,2005-07-23 06:18:16,"F"
17,98340021,91817091,"B","No",2005-07-13 08:08:26,2005-07-13 08:19:12,"C"
18,99240160,91918090,"B","No",2006-03-13 19:55:58,2006-03-13 22:08:18,"D"
19,99340061,90809091,"B","No",2006-01-02 10:34:42,2006-01-02 12:47:30,"D"
20,99340060,91819190,"F","No",2005-09-26 15:05:16,2005-09-26 15:07:07,"E"
21,98240121,,"E","Y",2005-07-28 18:21:01,2005-07-28 18:52:28,"A"
22,98351121,91909080,"E","No",2005-11-04 12:42:05,2005-11-04 14:20:39,"B"
23,98340361,,"C","Y",2006-05-31 09:54:39,2006-05-31 12:19:09,"B"
24,98251320,,"C","Y",2006-05-25 04:56:35,2006-05-25 07:07:34,"D"
25,98350221,,"A","Y",2005-03-01 19:06:28,2005-03-01 19:53:29,"A"
26,98240061,90919191,"E","No",2006-05-11 00:36:12,2006-05-11 02:16:07,"E"
27,98240121,91809191,"D","No",2006-12-04 21:42:37,2006-12-04 21:52:02,"C"
28,98250060,,"B","Y",2006-08-21 15:14:29,2006-08-21 17:36:33,"B"
29,99241361,90819091,"C","No",2006-03-17 14:35:01,2006-03-17 15:54:40,"E"
30,98341360,,"F","Y",2005-05-19 11:57:01,2005-05-19 14:41:27,"B"
31,98350061,90819170,"B","No",2005-07-30 18:09:21,2005-07-30 20:43:14,"D"
32,99241220,91808181,"E","No",2006-11-08 01:18:56,2006-11-08 03:21:17,"F"
33,99350321,91818191,"C","No",2006-02-13 01:54:10,2006-02-13 03:50:52,"B"
34,98341220,,"B","Y",2005-07-18 07:00:37,2005-07-18 08:18:15,"E"
35,98251161,,"A","Y",2005-03-25 07:50:55,2005-03-25 09:50:38,"F"
36,98251361,,"C","Y",2005-06-21 01:36:39,2005-06-21 03:56:37,"B"
37,99351220,90818070,"F","No",2006-03-21 07:54:57,2006-03-21 10:21:44,"E"
38,98250121,,"C","Y",2006-04-22 15:50:09,2006-04-22 17:26:28,"F"
39,98250320,90917180,"B","No",2006-01-05 05:21:26,2006-01-05 05:43:20,"D"
40,99241260,91817180,"B","No",2006-11-21 02:31:41,2006-11-21 03:24:08,"F"
41,98351021,,"F","Y",2005-01-26 02:24:49,2005-01-26 04:53:28,"F"
43,98340321,,"B","Y",2005-11-01 01:44:36,2005-11-01 03:37:53,"C"
44,99241020,91917191,"E","No",2005-04-26 14:08:24,2005-04-26 14:15:18,"A"
45,98241260,90917191,"B","No",2006-08-18 12:20:49,2006-08-18 12:43:39,"F"
46,98341061,91917071,"B","No",2005-05-01 18:46:11,2005-05-01 20:02:29,"A"
47,99250161,91909071,"E","No",2005-08-30 14:27:39,2005-08-30 14:43:10,"B"
48,98341161,90909081,"E","No",2005-01-12 15:09:29,2005-01-12 17:05:53,"D"
49,99240021,,"D","Y",2005-12-16 02:57:53,2005-12-16 04:42:38,"C"
50,99241160,,"C","Y",2005-02-02 13:51:27,2005-02-02 16:30:42,"B"
53,99340020,,"A","Y",2006-12-15 16:18:16,2006-12-15 16:38:35,"B"
54,98341120,91818091,"D","No",2006-12-12 00:47:01,2006-12-12 03:17:39,"F"
55,98251020,91917091,"E","No",2005-07-15 00:24:48,2005-07-15 03:08:52,"C"
56,99241320,90907181,"A","No",2006-04-01 21:34:57,2006-04-01 23:14:56,"B"
57,99240161,91918091,"D","No",2005-03-24 07:24:44,2005-03-24 09:51:44,"A"
58,98340061,,"D","Y",2005-12-10 15:35:49,2005-12-10 17:37:36,"F"
59,98240261,,"A","Y",2006-01-14 10:10:34,2006-01-14 12:07:21,"F"
60,99250360,,"B","Y",2005-10-23 20:14:17,2005-10-23 21:14:03,"A"
61,99251261,,"F","Y",2005-09-26 01:08:06,2005-09-26 02:44:04,"E"
62,98251360,91908171,"B","No",2005-05-23 22:12:57,2005-05-24 00:14:28,"F"
63,98240321,91818081,"D","No",2006-03-27 02:51:25,2006-03-27 03:00:25,"B"
64,99340261,91909091,"C","No",2006-05-31 05:39:04,2006-05-31 07:18:49,"A"
65,98251221,91908071,"E","No",2005-09-13 05:46:09,2005-09-13 06:12:17,"F"
66,98250020,,"B","Y",2006-01-26 05:34:31,2006-01-26 05:56:26,"B"
67,99251060,91917181,"A","No",2006-09-13 02:00:28,2006-09-13 03:28:55,"C"
68,98251361,,"D","Y",2005-10-23 13:03:52,2005-10-23 15:40:01,"A"
69,98351021,,"B","Y",2006-04-05 03:51:51,2006-04-05 05:35:30,"D"
70,98241221,,"F","Y",2005-05-06 19:30:36,2005-05-06 21:11:58,"A"
71,99240020,90907081,"A","No",2005-04-05 19:46:38,2005-04-05 22:02:06,"E"
72,98340260,,"A","Y",2006-02-14 14:57:15,2006-02-14 15:22:29,"B"
73,98250020,,"A","Y",2005-08-22 19:55:25,2005-08-22 21:38:17,"C"
74,99351361,,"B","Y",2006-03-05 05:54:46,2006-03-05 07:32:59,"C"
75,99251320,,"E","Y",2005-07-03 19:24:33,2005-07-03 21:53:19,"F"
76,98340361,,"E","Y",2005-05-24 17:02:55,2005-05-24 18:33:58,"B"
77,99351060,,"D","Y",2006-06-25 14:09:03,2006-06-25 16:05:32,"C"
78,98340120,,"B","Y",2006-07-16 22:45:15,2006-07-16 22:53:42,"D"
79,99350320,91918190,"B","No",2006-02-06 22:11:11,2006-02-06 23:46:31,"F"
80,99350361,90818081,"E","No",2005-12-17 09:52:39,2005-12-17 12:19:52,"A"
81,99250121,91909090,"C","No",2006-11-14 20:43:46,2006-11-14 22:58:12,"D"
82,99251121,90819091,"B","No",2006-02-10 19:56:47,2006-02-10 21:06:56,"D"
83,99351160,,"B","Y",2006-02-12 05:04:36,2006-02-12 07:05:24,"B"
84,98350060,90909191,"D","No",2005-03-24 17:02:30,2005-03-24 18:58:53,"C"
85,98250120,,"B","Y",2005-10-31 14:46:00,2005-10-31 16:30:39,"D"
86,98351320,90919190,"A","No",2006-06-14 13:50:23,2006-06-14 14:50:59,"F"
87,98251120,91809170,"C","No",2006-05-22 05:22:04,2006-05-22 08:04:12,"D"
88,99341321,90817071,"B","No",2006-06-16 03:22:12,2006-06-16 03:56:26,"C"
89,99251160,90919170,"C","No",2005-09-25 08:01:13,2005-09-25 08:57:43,"B"
90,99351221,,"F","Y",2006-05-02 15:00:53,2006-05-02 17:17:48,"A"
91,98341221,,"C","Y",2006-08-01 07:51:32,2006-08-01 09:12:33,"C"
92,98350221,,"A","Y",2005-04-27 10:48:03,2005-04-27 13:34:10,"E"
93,98340360,91909170,"B","No",2006-02-14 10:02:09,2006-02-14 12:24:32,"A"
94,99251121,,"B","Y",2005-04-19 06:02:44,2005-04-19 08:39:08,"B"
95,98241260,,"D","Y",2006-06-27 20:25:46,2006-06-27 22:40:13,"A"
96,99240361,,"B","Y",2006-07-23 13:13:34,2006-07-23 15:59:44,"D"
97,98350060,91817071,"B","No",2005-09-28 05:10:31,2005-09-28 07:23:52,"A"
98,99341021,,"F","Y",2006-11-20 08:24:53,2006-11-20 10:02:24,"F"
99,98341361,,"B","Y",2005-09-22 11:45:46,2005-09-22 11:55:57,"C"
100,99241121,91907170,"C","No",2005-04-18 14:34:57,2005-04-18 16:53:03,"F"
